Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Payload Length
2024-10-02 08:05:26,72.179.12.72,192.168.1.5,17,9091,6881,325
2024-10-02 08:05:26,192.168.1.5,142.250.193.234,6,30629,443,55
2024-10-02 08:05:26,142.250.193.234,192.168.1.5,6,443,30629,66
2024-10-02 08:05:27,192.168.1.5,192.168.1.255,17,137,137,92
2024-10-02 08:05:27,192.168.1.5,192.168.1.255,17,137,137,92
2024-10-02 08:05:28,192.168.1.5,218.248.114.65,17,64821,53,92
2024-10-02 08:05:28,192.168.1.5,218.248.114.1,17,64821,53,92
2024-10-02 08:05:29,192.168.1.5,18.239.111.92,6,30586,443,55
2024-10-02 08:05:29,18.239.111.92,192.168.1.5,6,443,30586,66
2024-10-02 08:05:29,192.168.1.5,108.158.61.96,6,30587,443,55
2024-10-02 08:05:29,108.158.61.96,192.168.1.5,6,443,30587,66
2024-10-02 08:05:29,192.168.1.5,108.158.61.96,6,30591,443,55
2024-10-02 08:05:29,108.158.61.96,192.168.1.5,6,443,30591,66
2024-10-02 08:05:29,192.168.1.5,218.248.114.65,17,64821,53,92
2024-10-02 08:05:29,218.248.114.65,192.168.1.5,17,53,64821,212
2024-10-02 08:05:29,192.168.1.5,20.189.173.12,6,30639,443,66
2024-10-02 08:05:29,20.189.173.12,192.168.1.5,6,443,30639,66
